price,bathrooms,bedrooms,living_area,clusters,color
849000,2,3,2598.0,0,Light Pink
799999,5,5,5131.0,0,Light Pink
510000,2,4,2072.0,0,Light Pink
379888,1,3,925.0,0,Light Pink
595000,2,3,2039.0,0,Light Pink
525000,3,5,2364.0,0,Light Pink
550000,1,1,2157.0,0,Light Pink
725000,2,3,2390.0,0,Light Pink
464000,1,3,1582.0,0,Light Pink
684900,2,4,1772.0,0,Light Pink
509000,2,5,2374.0,0,Light Pink
420000,3,4,2288.0,0,Light Pink
400000,2,0,2240.0,0,Light Pink
505000,3,4,2208.0,0,Light Pink
545000,2,5,2412.0,0,Light Pink
450000,2,3,2670.0,0,Light Pink
699000,2,3,2044.0,0,Light Pink
599000,3,5,2723.0,0,Light Pink
529900,3,4,2208.0,0,Light Pink
474900,2,5,2072.0,0,Light Pink
540000,5,7,1208.0,0,Light Pink
469900,2,4,1707.0,0,Light Pink
650000,2,3,2574.0,0,Light Pink
475000,2,3,1340.0,0,Light Pink
2000000,4,5,4070.0,0,Light Pink
729000,2,2,1003.0,0,Light Pink
300000,1,2,864.0,0,Light Pink
1190000,6,7,7094.0,0,Light Pink
1199000,3,3,2080.0,0,Light Pink
280000,2,2,1533.0,0,Light Pink
529000,2,4,2484.0,0,Light Pink
850000,4,4,2491.0,0,Light Pink
700000,2,3,2026.0,0,Light Pink
660000,3,3,1974.0,0,Light Pink
1650000,4,4,4480.0,0,Light Pink
985000,3,4,2394.0,0,Light Pink
635000,2,3,1440.0,0,Light Pink
539000,4,5,2486.0,0,Light Pink
450000,2,3,1976.0,0,Light Pink
290000,1,1,500.0,0,Light Pink
3500000,6,4,5617.0,2,Purple
1150000,4,5,3265.0,0,Light Pink
480000,3,4,2304.0,0,Light Pink
364777,3,3,1125.0,0,Light Pink
610000,3,5,2806.0,0,Light Pink
350000,3,2,1256.0,0,Light Pink
675000,1,3,2172.0,0,Light Pink
425000,2,2,891.0,0,Light Pink
514900,2,2,1139.0,0,Light Pink
579900,3,6,2750.0,0,Light Pink
354900,1,3,832.0,0,Light Pink
564900,2,3,1643.0,0,Light Pink
1175000,2,4,3302.0,0,Light Pink
619900,4,5,2749.0,0,Light Pink
535000,2,3,1666.0,0,Light Pink
354000,1,2,1050.0,0,Light Pink
1659900,4,5,5959.0,0,Light Pink
299000,2,2,960.0,0,Light Pink
3200000,4,4,4928.0,2,Purple
460000,3,5,2187.0,0,Light Pink
375000,1,2,802.0,0,Light Pink
237400,1,2,916.0,0,Light Pink
769000,2,4,1968.0,0,Light Pink
356200,3,2,1259.0,0,Light Pink
675000,2,3,1908.0,0,Light Pink
890000,3,5,2332.0,0,Light Pink
375000,1,1,531.0,0,Light Pink
2200000,3,3,3042.0,0,Light Pink
850000,2,3,1720.0,0,Light Pink
2800000,4,4,5129.0,0,Light Pink
690000,4,5,3938.0,0,Light Pink
285000,2,3,970.0,0,Light Pink
2390000,4,5,5230.0,0,Light Pink
850000,2,5,2894.0,0,Light Pink
285000,1,2,997.0,0,Light Pink
1100000,3,4,2692.0,0,Light Pink
950000,4,5,2989.0,0,Light Pink
579999,4,7,3400.0,0,Light Pink
400000,1,3,1232.0,0,Light Pink
775000,3,3,4244.0,0,Light Pink
364999,1,3,928.0,0,Light Pink
650000,3,3,2802.0,0,Light Pink
399000,2,4,1500.0,0,Light Pink
750000,3,7,2996.0,0,Light Pink
449000,1,3,1420.0,0,Light Pink
2750000,5,3,6277.0,0,Light Pink
949000,2,4,3500.0,0,Light Pink
459000,2,4,1440.0,0,Light Pink
949900,4,4,3624.0,0,Light Pink
400000,2,3,1326.0,0,Light Pink
328000,2,2,855.0,0,Light Pink
7800000,9,4,13564.0,2,Purple
1500000,3,3,5046.0,0,Light Pink
480000,2,5,2340.0,0,Light Pink
385000,1,2,648.0,0,Light Pink
442000,2,4,1232.0,0,Light Pink
399900,2,3,1332.0,0,Light Pink
850000,2,4,2649.0,0,Light Pink
924500,2,4,2249.0,0,Light Pink
484900,2,3,1996.0,0,Light Pink
539900,2,2,1506.0,0,Light Pink
423500,1,3,1215.0,0,Light Pink
630000,3,6,3751.0,0,Light Pink
810000,3,3,2607.0,0,Light Pink
3400000,5,5,7322.0,2,Purple
410000,2,2,864.0,0,Light Pink
369999,2,2,967.0,0,Light Pink
532000,2,4,1536.0,0,Light Pink
2150000,4,5,5275.0,0,Light Pink
480000,2,3,1768.0,0,Light Pink
555000,2,4,2602.0,0,Light Pink
519900,3,4,1602.0,0,Light Pink
1950000,7,7,6544.0,0,Light Pink
710000,2,3,1738.0,0,Light Pink
495000,1,3,1886.0,0,Light Pink
375000,1,2,1030.0,0,Light Pink
450000,2,4,1672.0,0,Light Pink
1239900,4,6,4278.0,0,Light Pink
849700,3,4,2019.0,0,Light Pink
795000,3,4,2184.0,0,Light Pink
634900,1,3,2047.0,0,Light Pink
3199000,4,5,4864.0,2,Purple
290000,1,2,850.0,0,Light Pink
1100000,5,6,4296.0,0,Light Pink
2350000,3,6,3990.0,0,Light Pink
568000,3,3,1280.0,0,Light Pink
3395000,4,5,5886.0,2,Purple
229900,1,1,368.0,0,Light Pink
495000,3,4,2444.0,0,Light Pink
244000,1,2,1058.0,0,Light Pink
519000,3,5,2160.0,0,Light Pink
799900,3,5,2109.0,0,Light Pink
520000,2,3,2248.0,0,Light Pink
479900,3,3,1612.0,0,Light Pink
499999,2,3,2075.0,0,Light Pink
1600000,3,6,5894.0,0,Light Pink
1675000,4,5,3614.0,0,Light Pink
435000,1,3,1110.0,0,Light Pink
349950,1,2,925.0,0,Light Pink
449900,3,4,1890.0,0,Light Pink
1250000,2,4,3141.0,0,Light Pink
679999,2,3,1750.0,0,Light Pink
255000,1,2,860.0,0,Light Pink
455000,2,4,1907.0,0,Light Pink
699900,2,4,1752.0,0,Light Pink
2349000,5,6,6432.0,0,Light Pink
575000,2,3,1584.0,0,Light Pink
1295000,3,5,2715.0,0,Light Pink
580000,3,3,2381.0,0,Light Pink
799900,3,2,1950.0,0,Light Pink
394000,3,3,1445.0,0,Light Pink
479900,2,4,2024.0,0,Light Pink
675000,4,4,3186.0,0,Light Pink
1500000,4,5,4752.0,0,Light Pink
388900,2,3,943.0,0,Light Pink
399950,1,2,1085.0,0,Light Pink
334000,2,3,1131.0,0,Light Pink
320000,1,2,750.0,0,Light Pink
799999,2,4,1600.0,0,Light Pink
749900,2,3,1776.0,0,Light Pink
524499,1,3,1425.0,0,Light Pink
480000,2,3,2394.0,0,Light Pink
949900,3,4,2764.0,0,Light Pink
440000,2,5,1704.0,0,Light Pink
509900,3,5,2288.0,0,Light Pink
524900,3,3,2635.0,0,Light Pink
475000,2,4,2118.0,0,Light Pink
469900,2,4,1786.0,0,Light Pink
465000,2,4,1470.0,0,Light Pink
965000,4,4,2726.0,0,Light Pink
699000,4,4,3004.0,0,Light Pink
2600000,6,5,6185.0,0,Light Pink
499999,2,6,2400.0,0,Light Pink
849000,2,3,1835.0,0,Light Pink
576900,3,6,2592.0,0,Light Pink
375000,1,2,1270.0,0,Light Pink
325000,1,1,560.0,0,Light Pink
484900,3,6,2048.0,0,Light Pink
1225000,4,5,5120.0,0,Light Pink
1498000,4,5,3900.0,0,Light Pink
410000,1,3,1575.0,0,Light Pink
585000,4,5,2992.0,0,Light Pink
997000,4,3,2378.0,0,Light Pink
599900,1,3,2050.0,0,Light Pink
255900,1,2,800.0,0,Light Pink
975000,2,5,3403.0,0,Light Pink
520000,2,5,1920.0,0,Light Pink
445900,2,4,1298.0,0,Light Pink
500000,3,5,2058.0,0,Light Pink
1900000,5,5,5116.0,0,Light Pink
674900,4,3,2180.0,0,Light Pink
825000,3,4,2401.0,0,Light Pink
865000,3,6,2616.0,0,Light Pink
1499093,4,3,3044.0,0,Light Pink
574500,2,5,2072.0,0,Light Pink
365000,3,2,1143.0,0,Light Pink
539000,1,2,1000.0,0,Light Pink
759900,3,4,3140.0,0,Light Pink
480000,1,2,1033.0,0,Light Pink
548800,3,4,1877.0,0,Light Pink
460000,2,5,1938.0,0,Light Pink
512000,3,3,2088.0,0,Light Pink
407000,2,2,1606.0,0,Light Pink
409900,2,2,1200.0,0,Light Pink
2900000,9,6,11860.0,0,Light Pink
2490000,6,8,9082.0,0,Light Pink
449900,1,3,1678.0,0,Light Pink
1400000,5,3,2181.0,0,Light Pink
704900,3,5,3736.0,0,Light Pink
770000,2,3,1598.0,0,Light Pink
649999,3,6,2993.0,0,Light Pink
1125000,3,4,4586.0,0,Light Pink
420000,2,3,1350.0,0,Light Pink
630000,2,3,1612.0,0,Light Pink
372000,1,1,708.0,0,Light Pink
2000000,4,4,3845.0,0,Light Pink
365000,2,3,1300.0,0,Light Pink
365000,1,1,697.0,0,Light Pink
665000,2,4,2180.0,0,Light Pink
245000,1,2,916.0,0,Light Pink
455000,1,2,1599.0,0,Light Pink
699888,2,3,1662.0,0,Light Pink
579000,2,2,1434.0,0,Light Pink
525000,3,5,2240.0,0,Light Pink
450000,2,2,1327.0,0,Light Pink
599900,2,2,1725.0,0,Light Pink
479900,2,4,1728.0,0,Light Pink
465000,2,2,1348.0,0,Light Pink
389900,2,3,1163.0,0,Light Pink
