city,price,county
American Fork,673396,Utah County
Benjamin,903966,Utah County
Bountiful,694674,Davis County
Centerville,699900,Davis County
Coalville,1287500,Summit County
Cottonwood Heights,1392484,Salt Lake County
Draper,1332758,Salt Lake County
Eagle Mountain,576416,Utah County
Grantsville,553175,Tooele County
Heber,2295228,Wasatch County
Herriman,826743,Salt Lake County
Hideout,1647200,Wasatch County
Holladay,1496454,Salt Lake County
Hyde Park,607310,Cache County
Kamas,1671366,Summit County
Kaysville,884908,Davis County
Lake Point,598576,Tooele County
Layton,641527,Davis County
Lehi,854258,Utah County
Logan,475614,Cache County
Magna,459857,Salt Lake County
Mapleton,1207995,Utah County
Midvale,511989,Salt Lake County
Midway,450000,Wasatch County
Millcreek,619015,Salt Lake County
Murray,662390,Salt Lake County
North Salt Lake,625000,Davis County
Oakley,1775000,Summit County
Ogden,488479,Weber County
Orem,767615,Utah County
Park City,4006799,Summit County
Plain City,699207,Weber County
Providence,591921,Cache County
Provo,1124338,Utah County
Riverton,853795,Salt Lake County
Saint George,897746,Washington County
Salt Lake City,953191,Salt Lake County
Sandy,1036186,Salt Lake County
Santa Clara,868000,Washington County
Saratoga Springs,701101,Utah County
South Jordan,728383,Salt Lake County
Spanish Fork,660907,Utah County
Springville,747663,Utah County
Sundance,4454818,Utah County
Taylor,694450,Weber County
Taylorsville,425856,Salt Lake County
Tooele,477814,Tooele County
Tremonton,405000,Box Elder County
Vernal,409388,Uintah County
Vineyard,641298,Utah County
Wallsburg,4625000,Wasatch County
Washington,497500,Washington County
West Haven,574900,Weber County
West Jordan,624231,Salt Lake County
West Valley City,518382,Salt Lake County
Winchester Hills,750000,Washington County
