city,average_price,low_price,median_price,high_price,county
American Fork,673396,270000,525000,2200000,Utah County
Benjamin,903966,875000,899900,937000,Utah County
Bountiful,694674,270000,599220,1989000,Davis County
Centerville,699900,699900,699900,699900,Davis County
Coalville,1287500,450000,725000,3250000,Summit County
Cottonwood Heights,1392484,299000,950000,7250000,Salt Lake County
Draper,1332758,374900,1100000,7330000,Salt Lake County
Eagle Mountain,576416,335000,545483,1775000,Utah County
Grantsville,553175,249000,549900,884900,Tooele County
Heber,2295228,403500,1700000,25000000,Wasatch County
Herriman,826743,345000,682500,3500000,Salt Lake County
Hideout,1647200,995400,1647200,2299000,Wasatch County
Holladay,1496454,239000,977500,6900000,Salt Lake County
Hyde Park,607310,607310,607310,607310,Cache County
Kamas,1671366,789000,1103292,8900000,Summit County
Kaysville,884908,389999,784450,2249900,Davis County
Lake Point,598576,399900,615200,687045,Tooele County
Layton,641527,325000,527450,2500000,Davis County
Lehi,854258,324900,749900,4150000,Utah County
Logan,475614,195000,419990,1800000,Cache County
Magna,459857,295000,445000,820000,Salt Lake County
Mapleton,1207995,465990,1207995,1950000,Utah County
Midvale,511989,289900,505000,775000,Salt Lake County
Midway,450000,450000,450000,450000,Wasatch County
Millcreek,619015,227000,455150,1495000,Salt Lake County
Murray,662390,214900,547450,3200000,Salt Lake County
North Salt Lake,625000,450000,475000,950000,Davis County
Oakley,1775000,1775000,1775000,1775000,Summit County
Ogden,488479,235000,426500,1325000,Weber County
Orem,767615,285000,529000,7800000,Utah County
Park City,4006799,282000,2185000,52000000,Summit County
Plain City,699207,506990,599000,1699000,Weber County
Providence,591921,264900,499900,1399000,Cache County
Provo,1124338,205000,576500,10700000,Utah County
Riverton,853795,452000,759250,2350000,Salt Lake County
Saint George,897746,150000,601073,8500000,Washington County
Salt Lake City,953191,199000,677500,7495000,Salt Lake County
Sandy,1036186,299999,696900,5990000,Salt Lake County
Santa Clara,868000,639000,675000,1290000,Washington County
Saratoga Springs,701101,319900,635000,2800000,Utah County
South Jordan,728383,330000,638000,2390000,Salt Lake County
Spanish Fork,660907,289900,589900,2595000,Utah County
Springville,747663,220000,487450,3975000,Utah County
Sundance,4454818,1185000,3495000,10700000,Utah County
Taylor,694450,639000,694450,749900,Weber County
Taylorsville,425856,244000,430000,690000,Salt Lake County
Tooele,477814,285000,447450,1250000,Tooele County
Tremonton,405000,405000,405000,405000,Box Elder County
Vernal,409388,199800,340000,785000,Uintah County
Vineyard,641298,369900,645000,999900,Utah County
Wallsburg,4625000,4625000,4625000,4625000,Wasatch County
Washington,497500,340000,497500,655000,Washington County
West Haven,574900,549900,574900,599900,Weber County
West Jordan,624231,325000,589000,2800000,Salt Lake County
West Valley City,518382,255000,482000,1033675,Salt Lake County
Winchester Hills,750000,750000,750000,750000,Washington County
