city,price,county
American Fork,2200000,Utah County
Benjamin,937000,Utah County
Bountiful,1989000,Davis County
Centerville,699900,Davis County
Coalville,3250000,Summit County
Cottonwood Heights,7250000,Salt Lake County
Draper,7330000,Salt Lake County
Eagle Mountain,1775000,Utah County
Grantsville,884900,Tooele County
Heber,25000000,Wasatch County
Herriman,3500000,Salt Lake County
Hideout,2299000,Wasatch County
Holladay,6900000,Salt Lake County
Hyde Park,607310,Cache County
Kamas,8900000,Summit County
Kaysville,2249900,Davis County
Lake Point,687045,Tooele County
Layton,2500000,Davis County
Lehi,4150000,Utah County
Logan,1800000,Cache County
Magna,820000,Salt Lake County
Mapleton,1950000,Utah County
Midvale,775000,Salt Lake County
Midway,450000,Wasatch County
Millcreek,1495000,Salt Lake County
Murray,3200000,Salt Lake County
North Salt Lake,950000,Davis County
Oakley,1775000,Summit County
Ogden,1325000,Weber County
Orem,7800000,Utah County
Park City,52000000,Summit County
Plain City,1699000,Weber County
Providence,1399000,Cache County
Provo,10700000,Utah County
Riverton,2350000,Salt Lake County
Saint George,8500000,Washington County
Salt Lake City,7495000,Salt Lake County
Sandy,5990000,Salt Lake County
Santa Clara,1290000,Washington County
Saratoga Springs,2800000,Utah County
South Jordan,2390000,Salt Lake County
Spanish Fork,2595000,Utah County
Springville,3975000,Utah County
Sundance,10700000,Utah County
Taylor,749900,Weber County
Taylorsville,690000,Salt Lake County
Tooele,1250000,Tooele County
Tremonton,405000,Box Elder County
Vernal,785000,Uintah County
Vineyard,999900,Utah County
Wallsburg,4625000,Wasatch County
Washington,655000,Washington County
West Haven,599900,Weber County
West Jordan,2800000,Salt Lake County
West Valley City,1033675,Salt Lake County
Winchester Hills,750000,Washington County
