city,price,county
American Fork,270000,Utah County
Benjamin,875000,Utah County
Bountiful,270000,Davis County
Centerville,699900,Davis County
Coalville,450000,Summit County
Cottonwood Heights,299000,Salt Lake County
Draper,374900,Salt Lake County
Eagle Mountain,335000,Utah County
Grantsville,249000,Tooele County
Heber,403500,Wasatch County
Herriman,345000,Salt Lake County
Hideout,995400,Wasatch County
Holladay,239000,Salt Lake County
Hyde Park,607310,Cache County
Kamas,789000,Summit County
Kaysville,389999,Davis County
Lake Point,399900,Tooele County
Layton,325000,Davis County
Lehi,324900,Utah County
Logan,195000,Cache County
Magna,295000,Salt Lake County
Mapleton,465990,Utah County
Midvale,289900,Salt Lake County
Midway,450000,Wasatch County
Millcreek,227000,Salt Lake County
Murray,214900,Salt Lake County
North Salt Lake,450000,Davis County
Oakley,1775000,Summit County
Ogden,235000,Weber County
Orem,285000,Utah County
Park City,282000,Summit County
Plain City,506990,Weber County
Providence,264900,Cache County
Provo,205000,Utah County
Riverton,452000,Salt Lake County
Saint George,150000,Washington County
Salt Lake City,199000,Salt Lake County
Sandy,299999,Salt Lake County
Santa Clara,639000,Washington County
Saratoga Springs,319900,Utah County
South Jordan,330000,Salt Lake County
Spanish Fork,289900,Utah County
Springville,220000,Utah County
Sundance,1185000,Utah County
Taylor,639000,Weber County
Taylorsville,244000,Salt Lake County
Tooele,285000,Tooele County
Tremonton,405000,Box Elder County
Vernal,199800,Uintah County
Vineyard,369900,Utah County
Wallsburg,4625000,Wasatch County
Washington,340000,Washington County
West Haven,549900,Weber County
West Jordan,325000,Salt Lake County
West Valley City,255000,Salt Lake County
Winchester Hills,750000,Washington County
