city,price,county
American Fork,525000,Utah County
Benjamin,899900,Utah County
Bountiful,599220,Davis County
Centerville,699900,Davis County
Coalville,725000,Summit County
Cottonwood Heights,950000,Salt Lake County
Draper,1100000,Salt Lake County
Eagle Mountain,545483,Utah County
Grantsville,549900,Tooele County
Heber,1700000,Wasatch County
Herriman,682500,Salt Lake County
Hideout,1647200,Wasatch County
Holladay,977500,Salt Lake County
Hyde Park,607310,Cache County
Kamas,1103292,Summit County
Kaysville,784450,Davis County
Lake Point,615200,Tooele County
Layton,527450,Davis County
Lehi,749900,Utah County
Logan,419990,Cache County
Magna,445000,Salt Lake County
Mapleton,1207995,Utah County
Midvale,505000,Salt Lake County
Midway,450000,Wasatch County
Millcreek,455150,Salt Lake County
Murray,547450,Salt Lake County
North Salt Lake,475000,Davis County
Oakley,1775000,Summit County
Ogden,426500,Weber County
Orem,529000,Utah County
Park City,2185000,Summit County
Plain City,599000,Weber County
Providence,499900,Cache County
Provo,576500,Utah County
Riverton,759250,Salt Lake County
Saint George,601073,Washington County
Salt Lake City,677500,Salt Lake County
Sandy,696900,Salt Lake County
Santa Clara,675000,Washington County
Saratoga Springs,635000,Utah County
South Jordan,638000,Salt Lake County
Spanish Fork,589900,Utah County
Springville,487450,Utah County
Sundance,3495000,Utah County
Taylor,694450,Weber County
Taylorsville,430000,Salt Lake County
Tooele,447450,Tooele County
Tremonton,405000,Box Elder County
Vernal,340000,Uintah County
Vineyard,645000,Utah County
Wallsburg,4625000,Wasatch County
Washington,497500,Washington County
West Haven,574900,Weber County
West Jordan,589000,Salt Lake County
West Valley City,482000,Salt Lake County
Winchester Hills,750000,Washington County
