zpid,city,state,zipcode,latitude,longitude,price,bathrooms,bedrooms,living_area,home_type,zestimate,country,tax_assessed_value,new_home,construction_type,home_detail_link
2072348967,Salt Lake City,UT,84106,40.705242,-111.85947,849000.0,2.0,3.0,2598.0,SINGLE_FAMILY,,USA,,,,https://www.zillow.com/homedetails/1108-E-Elgin-Ave-S-Salt-Lake-City-UT-84106/2072348967_zpid/
72632530,West Valley City,UT,84128,40.675503,-112.0405,799999.0,5.0,5.0,5131.0,SINGLE_FAMILY,797800.0,USA,667700.0,,,https://www.zillow.com/homedetails/6261-W-Terrace-Ridge-Dr-West-Valley-City-UT-84128/72632530_zpid/
12815101,West Valley City,UT,84120,40.676613,-111.99914,510000.0,2.0,4.0,2072.0,SINGLE_FAMILY,521200.0,USA,380400.0,,,https://www.zillow.com/homedetails/4329-S-Mignon-Dr-West-Valley-City-UT-84120/12815101_zpid/
12741992,West Valley City,UT,84119,40.715977,-111.93539,379888.0,1.0,3.0,925.0,SINGLE_FAMILY,387700.0,USA,299100.0,,,https://www.zillow.com/homedetails/2525-S-Lester-St-West-Valley-City-UT-84119/12741992_zpid/
12738716,Salt Lake City,UT,84104,40.753315,-111.91732,595000.0,2.0,3.0,2039.0,SINGLE_FAMILY,613200.0,USA,345300.0,,,https://www.zillow.com/homedetails/728-S-900-W-Salt-Lake-City-UT-84104/12738716_zpid/
12746447,West Valley City,UT,84120,40.702606,-111.997475,525000.0,3.0,5.0,2364.0,SINGLE_FAMILY,536200.0,USA,368200.0,,,https://www.zillow.com/homedetails/3170-S-4440-W-West-Valley-City-UT-84120/12746447_zpid/
12720312,Salt Lake City,UT,84103,40.778088,-111.86829,550000.0,1.0,1.0,2157.0,SINGLE_FAMILY,565100.0,USA,502800.0,,,https://www.zillow.com/homedetails/380-N-K-St-Salt-Lake-City-UT-84103/12720312_zpid/
12759236,Salt Lake City,UT,84105,40.744644,-111.87064,725000.0,2.0,3.0,2390.0,SINGLE_FAMILY,,USA,568200.0,,,https://www.zillow.com/homedetails/1113-S-700-E-Salt-Lake-City-UT-84105/12759236_zpid/
12713019,Salt Lake City,UT,84116,40.78884,-111.93377,464000.0,1.0,3.0,1582.0,SINGLE_FAMILY,484900.0,USA,353100.0,,,https://www.zillow.com/homedetails/887-N-1500-W-Salt-Lake-City-UT-84116/12713019_zpid/
12768252,Salt Lake City,UT,84108,40.732082,-111.83937,684900.0,2.0,4.0,1772.0,SINGLE_FAMILY,701300.0,USA,600400.0,,,https://www.zillow.com/homedetails/1800-E-Blaine-Ave-Salt-Lake-City-UT-84108/12768252_zpid/
12815380,West Valley City,UT,84120,40.677895,-111.99179,509000.0,2.0,5.0,2374.0,SINGLE_FAMILY,519800.0,USA,459000.0,,,https://www.zillow.com/homedetails/4273-S-Deno-Dr-West-Valley-City-UT-84120/12815380_zpid/
12746916,West Valley City,UT,84120,40.693455,-112.003265,420000.0,3.0,4.0,2288.0,SINGLE_FAMILY,431000.0,USA,348700.0,,,https://www.zillow.com/homedetails/3623-S-Richfield-Ct-West-Valley-City-UT-84120/12746916_zpid/
2061538438,West Valley City,UT,84119,40.70453,-111.96897,400000.0,2.0,,2240.0,SINGLE_FAMILY,405200.0,USA,,,,https://www.zillow.com/homedetails/3055-S-Sunrise-Pointe-Ct-West-Valley-City-UT-84119/2061538438_zpid/
12724002,West Valley City,UT,84120,40.699417,-112.0102,505000.0,3.0,4.0,2208.0,SINGLE_FAMILY,516200.0,USA,433000.0,,,https://www.zillow.com/homedetails/3342-S-Shalise-Cir-West-Valley-City-UT-84120/12724002_zpid/
12749650,West Valley City,UT,84120,40.68321,-111.977684,545000.0,2.0,5.0,2412.0,SINGLE_FAMILY,556200.0,USA,401100.0,,,https://www.zillow.com/homedetails/3626-W-Larry-Cir-West-Valley-City-UT-84120/12749650_zpid/
12815032,West Valley City,UT,84120,40.67563,-112.001724,450000.0,2.0,3.0,2670.0,SINGLE_FAMILY,460900.0,USA,391100.0,,,https://www.zillow.com/homedetails/4368-S-4625-W-West-Valley-City-UT-84120/12815032_zpid/
12777894,Salt Lake City,UT,84106,40.716675,-111.8407,699000.0,2.0,3.0,2044.0,SINGLE_FAMILY,716600.0,USA,563700.0,,,https://www.zillow.com/homedetails/2521-S-Kenwood-St-Salt-Lake-City-UT-84106/12777894_zpid/
11920955,Orem,UT,84057,40.3316,-111.69789,599000.0,3.0,5.0,2723.0,SINGLE_FAMILY,621300.0,USA,316300.0,,,https://www.zillow.com/homedetails/1893-N-50-W-Orem-UT-84057/11920955_zpid/
12748542,West Valley City,UT,84120,40.682953,-111.99118,529900.0,3.0,4.0,2208.0,SINGLE_FAMILY,541500.0,USA,428000.0,,,https://www.zillow.com/homedetails/4060-S-4150-W-West-Valley-City-UT-84120/12748542_zpid/
348420477,Orem,UT,84058,40.294598,-111.71804,474900.0,2.0,5.0,2072.0,SINGLE_FAMILY,,USA,,,,https://www.zillow.com/homedetails/162-S-Ridgecrest-Dr-Orem-UT-84058/348420477_zpid/
63341247,West Valley City,UT,84128,40.68659,-112.05118,540000.0,5.0,7.0,1208.0,SINGLE_FAMILY,546900.0,USA,423700.0,,,https://www.zillow.com/homedetails/3909-S-Othello-Way-West-Valley-City-UT-84128/63341247_zpid/
12799044,West Valley City,UT,84120,40.670654,-112.00779,469900.0,2.0,4.0,1707.0,SINGLE_FAMILY,480100.0,USA,341800.0,,,https://www.zillow.com/homedetails/4889-W-Westpoint-Dr-West-Valley-City-UT-84120/12799044_zpid/
12721439,Salt Lake City,UT,84103,40.77109,-111.861305,650000.0,2.0,3.0,2574.0,SINGLE_FAMILY,674500.0,USA,650100.0,,,https://www.zillow.com/homedetails/67-N-P-St-Salt-Lake-City-UT-84103/12721439_zpid/
12757549,Salt Lake City,UT,84111,40.744682,-111.88185,475000.0,2.0,3.0,1340.0,SINGLE_FAMILY,,USA,435000.0,,,https://www.zillow.com/homedetails/318-E-Harvard-Ave-Salt-Lake-City-UT-84111/12757549_zpid/
251206440,Salt Lake City,UT,84103,40.78441,-111.88769,2000000.0,4.0,5.0,4070.0,SINGLE_FAMILY,2017800.0,USA,1297900.0,,,https://www.zillow.com/homedetails/68-E-Columbus-Ct-Salt-Lake-City-UT-84103/251206440_zpid/
72121480,Salt Lake City,UT,84102,40.761692,-111.86585,729000.0,2.0,2.0,1003.0,SINGLE_FAMILY,740200.0,USA,611100.0,,,https://www.zillow.com/homedetails/342-S-900-E-Salt-Lake-City-UT-84102/72121480_zpid/
50216168,Salt Lake City,UT,84102,40.756638,-111.8621,300000.0,1.0,2.0,864.0,CONDO,301800.0,USA,228400.0,,,https://www.zillow.com/homedetails/575-S-1000-E-APT-C-Salt-Lake-City-UT-84102/50216168_zpid/
11915650,Orem,UT,84097,40.314793,-111.66097,1190000.0,6.0,7.0,7094.0,SINGLE_FAMILY,1186100.0,USA,834400.0,,,https://www.zillow.com/homedetails/1466-E-970-N-Orem-UT-84097/11915650_zpid/
348510955,Salt Lake City,UT,84103,40.770893,-111.88611,1199000.0,3.0,3.0,2080.0,CONDO,,USA,,,,https://www.zillow.com/homedetails/131-E-1st-Ave-N-705-Salt-Lake-City-UT-84103/348510955_zpid/
12711910,Salt Lake City,UT,84116,40.79708,-111.94119,280000.0,2.0,2.0,1533.0,TOWNHOUSE,287100.0,USA,236700.0,,,https://www.zillow.com/homedetails/1770-W-Trafalga-Way-APT-D-Salt-Lake-City-UT-84116/12711910_zpid/
11899110,Orem,UT,84097,40.307697,-111.680435,529000.0,2.0,4.0,2484.0,SINGLE_FAMILY,536400.0,USA,313300.0,,,https://www.zillow.com/homedetails/571-N-650-E-Orem-UT-84097/11899110_zpid/
2072009583,Salt Lake City,UT,84105,40.73288,-111.873375,850000.0,4.0,4.0,2491.0,TOWNHOUSE,,USA,,,,https://www.zillow.com/homedetails/620-E-1700-S-UNIT-7-Salt-Lake-City-UT-84105/2072009583_zpid/
12760196,Salt Lake City,UT,84105,40.741978,-111.85565,700000.0,2.0,3.0,2026.0,SINGLE_FAMILY,705100.0,USA,533800.0,,,https://www.zillow.com/homedetails/1233-E-1300-S-Salt-Lake-City-UT-84105/12760196_zpid/
12758492,Salt Lake City,UT,84105,40.748585,-111.87064,660000.0,3.0,3.0,1974.0,SINGLE_FAMILY,640300.0,USA,515300.0,,,https://www.zillow.com/homedetails/947-S-700-E-Salt-Lake-City-UT-84105/12758492_zpid/
12778502,Salt Lake City,UT,84109,40.721687,-111.82833,1650000.0,4.0,4.0,4480.0,SINGLE_FAMILY,1607600.0,USA,1161900.0,,,https://www.zillow.com/homedetails/2263-S-2200-E-Salt-Lake-City-UT-84109/12778502_zpid/
2072771255,Salt Lake City,UT,84106,40.7167,-111.85173,985000.0,3.0,4.0,2394.0,SINGLE_FAMILY,1003900.0,USA,,,,https://www.zillow.com/homedetails/2522-S-Beverly-St-E-Salt-Lake-City-UT-84106/2072771255_zpid/
12758444,Salt Lake City,UT,84105,40.750076,-111.870255,635000.0,2.0,3.0,1440.0,SINGLE_FAMILY,648100.0,USA,543200.0,,,https://www.zillow.com/homedetails/719-E-900-S-Salt-Lake-City-UT-84105/12758444_zpid/
2071363099,Salt Lake City,UT,84104,40.73893,-111.93699,539000.0,4.0,5.0,2486.0,SINGLE_FAMILY,544400.0,USA,,,,https://www.zillow.com/homedetails/1394-S-Utah-St-W-Salt-Lake-City-UT-84104/2071363099_zpid/
12731345,West Valley City,UT,84128,40.69629,-112.04585,450000.0,2.0,3.0,1976.0,SINGLE_FAMILY,456600.0,USA,350100.0,,,https://www.zillow.com/homedetails/6481-W-3500-S-West-Valley-City-UT-84128/12731345_zpid/
2061252258,Salt Lake City,UT,84103,40.771397,-111.88164,290000.0,1.0,1.0,500.0,CONDO,291200.0,USA,,,,https://www.zillow.com/homedetails/86-B-St-APT-30-Salt-Lake-City-UT-84103/2061252258_zpid/
12722263,Salt Lake City,UT,84103,40.77239,-111.84788,3500000.0,6.0,4.0,5617.0,SINGLE_FAMILY,3395100.0,USA,2789700.0,,,https://www.zillow.com/homedetails/1389-E-Military-Way-Salt-Lake-City-UT-84103/12722263_zpid/
12776949,Salt Lake City,UT,84106,40.7207,-111.84154,1150000.0,4.0,5.0,3265.0,SINGLE_FAMILY,1145000.0,USA,699900.0,,,https://www.zillow.com/homedetails/2311-S-1700-E-Salt-Lake-City-UT-84106/12776949_zpid/
348242605,Salt Lake City,UT,84129,40.672405,-111.96018,480000.0,3.0,4.0,2304.0,TOWNHOUSE,,USA,,,,https://www.zillow.com/homedetails/4506-S-Parkbury-Way-W-Salt-Lake-City-UT-84129/348242605_zpid/
82239068,West Valley City,UT,84119,40.718822,-111.93753,364777.0,3.0,3.0,1125.0,TOWNHOUSE,361900.0,USA,307900.0,,,https://www.zillow.com/homedetails/2405-S-Red-Bur-Ct-West-Valley-City-UT-84119/82239068_zpid/
