date,average_list_price,median_list_price
7/1/2016,557317,325000
8/1/2016,558076,324950
9/1/2016,563352,325000
10/1/2016,566602,326500
11/1/2016,569837,328925
12/1/2016,597571,331900
1/1/2017,621053,337500
2/1/2017,644197,349475
3/1/2017,654274,358950
4/1/2017,644252,359900
5/1/2017,629744,359938
6/1/2017,623495,362400
7/1/2017,611159,364380
8/1/2017,595247,359727
9/1/2017,593367,359000
10/1/2017,590125,353210
11/1/2017,602640,354900
12/1/2017,633555,358900
1/1/2018,661106,362450
2/1/2018,691263,375000
3/1/2018,701988,388950
4/1/2018,690247,393675
5/1/2018,670674,395000
6/1/2018,657276,395000
7/1/2018,657827,393054
8/1/2018,633204,388950
9/1/2018,626765,386825
10/1/2018,618499,380033
11/1/2018,619726,379900
12/1/2018,637786,380000
1/1/2019,656626,386523
2/1/2019,665543,395975
3/1/2019,671967,405645
4/1/2019,666918,411953
5/1/2019,655631,410000
6/1/2019,656780,412000
7/1/2019,839661,411280
8/1/2019,791357,408862
9/1/2019,707551,403315
10/1/2019,651647,399700
11/1/2019,670603,399910
12/1/2019,704812,412000
1/1/2020,739564,423690
2/1/2020,780345,434900
3/1/2020,780622,443450
4/1/2020,692620,429000
5/1/2020,708885,437250
6/1/2020,765568,454950
7/1/2020,819743,469945
8/1/2020,867390,485000
9/1/2020,892353,490000
10/1/2020,912021,495000
11/1/2020,971260,502725
12/1/2020,1023399,531450
1/1/2021,1120903,549000
2/1/2021,1190805,549900
3/1/2021,1154005,535450
4/1/2021,1126647,552500
5/1/2021,1091059,575000
6/1/2021,1091249,569350
7/1/2021,1023052,565000
8/1/2021,987663,564903
9/1/2021,941929,549950
10/1/2021,957235,550000
11/1/2021,998051,567500
12/1/2021,1070458,588225
1/1/2022,1086705,594869
2/1/2022,1117412,609500
3/1/2022,1113227,624900
4/1/2022,1036760,639900
5/1/2022,968858,643450
6/1/2022,944753,640000
7/1/2022,913559,615000
8/1/2022,891009,595013
9/1/2022,883305,580200
10/1/2022,867658,575000
11/1/2022,877718,565565
12/1/2022,906797,568730
1/1/2023,942269,577000
2/1/2023,980417,592000
3/1/2023,986799,602975
4/1/2023,988592,619900
5/1/2023,987837,629900
6/1/2023,996000,625458
7/1/2023,1023751,625000
8/1/2023,995907,612220
9/1/2023,980058,600000
10/1/2023,957515,599000
11/1/2023,959512,597000
12/1/2023,980414,594640
1/1/2024,1023805,595950
2/1/2024,1037320,599450
3/1/2024,1032785,600000
4/1/2024,1020607,604105
